INIT, 0.0, 0.77373, 1.0, 0.77628, 0.2574, 0.10294, 0.93053, 1.17256, 0.93326, 0.37825
INIT, 0.0, 0.78229, 1.0, 0.78863, 0.25232, 0.18971, 0.86264, 1.04991, 0.86809, 0.40676
INIT, 0.0, 0.79049, 1.0, 0.79157, 0.26912, 0.20102, 0.8928, 1.07615, 0.89374, 0.43653
INIT, 0.0, 0.7854, 1.0, 0.82942, 0.33465, 0.06181, 0.83316, 1.04392, 0.87639, 0.39047
INIT, 0.0, 0.77692, 1.0, 0.84896, 0.35707, 0.06489, 0.81941, 1.03605, 0.88936, 0.41166
ALCOHOL, 0.45123, 1.0, 0.24594, 0.0699, 0.0, 0.9695, 2.29066, 0.47528, 0.05147, -0.11681
ALCOHOL, 0.47442, 1.0, 0.20253, 0.01977, 0.0, 1.1128, 2.26416, 0.51718, 0.11682, 0.0735
ALCOHOL, 0.53937, 1.0, 0.1669, 0.0, 0.082, 1.02394, 1.85367, 0.353, 0.05236, 0.20007
ALCOHOL, 0.41237, 1.0, 0.2177, 0.02587, 0.0, 0.74925, 1.72235, 0.42687, 0.1092, 0.06636
ALCOHOL, 0.50568, 1.0, 0.32883, 0.16227, 0.0, 0.91159, 1.75275, 0.61065, 0.32723, 0.05109
NON-ALCOHOL, 0.22873, 0.92614, 1.0, 0.08813, 0.0, 0.68668, 2.09619, 2.24547, 0.40254, 0.22442
NON-ALCOHOL, 0.11605, 0.94583, 1.0, 0.09251, 0.0, 0.58494, 2.0575, 2.15363, 0.54318, 0.379
NON-ALCOHOL, 0.21893, 0.94408, 1.0, 0.1278, 0.0, 0.6436, 2.02759, 2.13432, 0.46965, 0.22575
NON-ALCOHOL, 0.23468, 0.95545, 1.0, 0.10796, 0.0, 0.65809, 1.71203, 1.77718, 0.4728, 0.31493
NON-ALCOHOL, 0.25672, 0.96946, 1.0, 0.0, 0.00223, 0.52889, 1.63063, 1.67785, 0.13205, 0.1355
FOOD, 0.0, 0.80306, 1.0, 0.83155, 0.54569, 0.61875, 1.44087, 1.64248, 1.47004, 1.17739
FOOD, 0.0, 0.93181, 1.0, 0.78856, 0.52227, 0.56574, 1.53537, 1.60633, 1.38631, 1.10921
FOOD, 0.0, 0.92067, 1.0, 0.8578, 0.58517, 0.62214, 1.68016, 1.77133, 1.60792, 1.29461
FOOD, 0.0, 0.95916, 1.0, 0.86059, 0.60428, 0.46851, 1.66843, 1.71952, 1.54511, 1.22447
FOOD, 0.0, 0.92419, 1.0, 0.80311, 0.5403, 0.49222, 1.67355, 1.77045, 1.51878, 1.18284
UNDO, 1.0, 0.28105, 0.21466, 0.04579, 0.0, 1.49727, 0.71698, 0.64492, 0.46164, 0.41195
UNDO, 1.0, 0.33314, 0.2591, 0.08447, 0.0, 1.42977, 0.47107, 0.36463, 0.11357, -0.00786
UNDO, 1.0, 0.36214, 0.25007, 0.04277, 0.0, 1.3476, 0.40803, 0.24295, -0.06241, -0.12542
UNDO, 1.0, 0.27913, 0.21647, 0.08957, 0.0, 1.5128, 0.42645, 0.33202, 0.14078, 0.0058
UNDO, 1.0, 0.4513, 0.35547, 0.18442, 0.0, 1.31169, 0.59831, 0.47371, 0.25132, 0.01155
CHECKOUT, 1.0, 0.62883, 0.53868, 0.25416, 0.0, 0.63278, 0.44158, 0.39514, 0.24858, 0.11765
CHECKOUT, 1.0, 0.62307, 0.52228, 0.2484, 0.0, 0.70196, 0.48716, 0.42972, 0.27364, 0.13209
CHECKOUT, 1.0, 0.59675, 0.50281, 0.2379, 0.0, 0.59104, 0.38887, 0.34177, 0.20895, 0.08968
CHECKOUT, 1.0, 0.59959, 0.5036, 0.23955, 0.0, 0.71573, 0.465, 0.4049, 0.23955, 0.08955
CHECKOUT, 1.0, 0.60054, 0.50587, 0.24339, 0.0, 0.74997, 0.49023, 0.42868, 0.25801, 0.09976
CASH, 0.43388, 1.0, 0.17129, 0.0, 0.90951, 0.69555, 1.86325, 0.15392, -0.19939, 1.67661
CASH, 0.45709, 1.0, 0.17062, 0.0, 0.89126, 0.56502, 1.60892, 0.0142, -0.31385, 1.39984
CASH, 0.323, 1.0, 0.17153, 0.0, 0.91075, 0.38061, 1.5865, 0.1108, -0.19473, 1.42753
CASH, 0.43683, 1.0, 0.17256, 0.0, 0.90469, 0.55354, 1.60348, 0.06085, -0.26086, 1.42579
CASH, 0.25192, 1.0, 0.16594, 0.0, 0.90365, 0.25988, 1.6224, 0.10327, -0.19896, 1.44692
CREDIT, 0.89818, 1.0, 0.77452, 0.3407, 0.0, 0.46993, 0.49677, 0.43734, 0.323, 0.23321
CREDIT, 1.0, 0.7963, 0.49524, 0.46849, 0.0, 0.48449, 0.43651, 0.3656, 0.3593, 0.24896
CREDIT, 1.0, 0.50395, 0.06244, 0.69772, 0.0, 0.45465, 0.35874, 0.27338, 0.39621, 0.26131
CREDIT, 1.0, 0.42612, 0.0, 0.88984, 0.20606, 0.49925, 0.39133, 0.3112, 0.47853, 0.34995
CREDIT, 1.0, 0.40889, 0.0, 0.76734, 0.06245, 0.46413, 0.36, 0.28797, 0.42314, 0.29897
